row_number,transaction_id,transaction_reference,sender_wallet_address,receiver_wallet_address,sender_customer_id,receiver_customer_id,amount,currency_code,status,created_at
"1","16ee7364-6f55-4bce-85e2-c8503d5ea4c5","TX_1778166919424_AF42D0A0FA82","ORG_WALLET_1778160272254_7495A0C77CC7","ORG_WALLET_1778160279817_5EFE6A9486F3","ORG_69dea77248dd439b8f15d0cd","ORG_9ba2d7575584423586bec8a3","47.62","USD","CONFIRMED","2026-05-07T15:15:19.425Z"
"2","c4d1831e-7c7c-493f-91f2-43dcc8d5570d","TX_1778166919435_B5B735FC92A7","ORG_WALLET_1778160279817_5EFE6A9486F3","ORG_WALLET_1778160272171_3E1E9FC7005B","ORG_9ba2d7575584423586bec8a3","ORG_cf345c7615cd49f19d54be4b","12.74","USD","CONFIRMED","2026-05-07T15:15:19.435Z"
"3","08030a60-1e2a-4a41-9394-df7e440f7a98","TX_1778166919441_71AECAD487F0","WALLET_1778067139764_D220C5EF78856","ORG_WALLET_1778160272087_2324BE187015","13","ORG_1947e9ee30de4becb2794d04","47.35","USD","CONFIRMED","2026-05-07T15:15:19.441Z"
"4","e5b45a99-427b-4357-bc22-a7a5d18dd99c","TX_1778166919446_E7818E918ABB","ORG_WALLET_1778160280229_2A2D74805156","ORG_WALLET_1778160281146_B8874C5AC610","ORG_6312f8a7d3254be0a87733a6","ORG_ae90e61e64ff48a089d9a554","1.67","USD","CONFIRMED","2026-05-07T15:15:19.446Z"
"5","1301e6a2-b7c3-4f8c-afc6-239044ca1287","TX_1778166919450_B479F02AB198","ORG_WALLET_1778160270410_EEC9BBFE5154","ORG_WALLET_1778160278996_A269C7AD8721","ORG_9f9a3d44b94a4515b31ff405","ORG_1f8d33ab9ab44b54bd42620f","4.09","USD","CONFIRMED","2026-05-07T15:15:19.450Z"
"6","43332baa-7249-4402-a4d6-24d383f447bb","TX_1778166919455_857953A41A0A","ORG_WALLET_1778160280229_2A2D74805156","ORG_WALLET_1778160280559_426B10463347","ORG_6312f8a7d3254be0a87733a6","ORG_714136041c8c450e87db5646","8.28","USD","CONFIRMED","2026-05-07T15:15:19.455Z"
"7","d1f265ad-71f0-4fc4-b84a-be4a5f236b87","TX_1778166919460_AA6AC96B4B4A","ORG_WALLET_1778160273686_674A3BB67D22","ORG_WALLET_1778160281399_E2C38644A950","ORG_938d73070d6540978566cca4","ORG_b11bbcf3ec4b4e0680428a05","27.99","USD","CONFIRMED","2026-05-07T15:15:19.460Z"
"8","3cabc185-066a-41ca-a43a-8c0c191ffa35","TX_1778166919464_30B3A3DBA53F","ORG_WALLET_1778160269819_4C4BAD6CD589","ORG_WALLET_1778160280478_74B6B9C7E314","ORG_bbc3a46f4c964cf397cfedac","ORG_319431175959410eab0a0351","17.99","USD","CONFIRMED","2026-05-07T15:15:19.464Z"
"9","50980da0-d265-4627-8921-4fadb1c92c8a","TX_1778166919469_33AB67843F11","ORG_WALLET_1778160274180_D68BEDEE7D6D","ORG_WALLET_1778160278996_A269C7AD8721","ORG_edd410705d74447cbf477a86","ORG_1f8d33ab9ab44b54bd42620f","45.77","USD","CONFIRMED","2026-05-07T15:15:19.469Z"
"10","18d3cac8-95ff-49ad-b84f-de503716c27d","TX_1778166919474_A4C6C043A604","ORG_WALLET_1778160270578_5F67C563B639","ORG_WALLET_1778160273603_8FD5638257B0","ORG_577fac19d1184e1da9dc121c","ORG_b209686058a44bbcae11cd83","37.7","USD","CONFIRMED","2026-05-07T15:15:19.474Z"
