row_number,transaction_id,transaction_reference,sender_wallet_address,receiver_wallet_address,sender_customer_id,receiver_customer_id,amount,transaction_fee,total_debit_amount,currency_code,status,created_at
"1","7d2a7d7b-f895-4b19-a6be-17a2358de549","TX_1778167149909_94926C6ACC62","ORG_WALLET_1778160278300_D29F97057D02","ORG_WALLET_1778160271336_332D39319141","ORG_fd7b8664935248b5999f8970","ORG_aac3beae4c654f7f84f04e44","12.12","0.01212","12.13212","USD","CONFIRMED","2026-05-07T15:19:09.910Z"
"2","4ee04c6c-3c02-4dee-b086-8588d15d1191","TX_1778167149918_D003E6D16078","WALLET_1778067145106_5F898D69F5F79","ORG_WALLET_1778160273522_42531C1DB4E5","15","ORG_3c6c51517af94cb69ea0a094","26.88","0.02688","26.90688","USD","CONFIRMED","2026-05-07T15:19:09.918Z"
"3","eb60a933-3a4c-4715-989b-8599219d29c4","TX_1778167149922_29DAB280B4E3","ORG_WALLET_1778160282706_E877F04E8A8C","ORG_WALLET_1778160276576_57F1AE36B2AC","ORG_2de29862c3dc42e7ac2411df","ORG_bebd64d6740044d1bb3a41b9","12.06","0.01206","12.07206","USD","CONFIRMED","2026-05-07T15:19:09.922Z"
"4","09ddab20-7105-479a-bf42-062f5534df17","TX_1778167149926_2D70FF74D341","ORG_WALLET_1778160280559_426B10463347","ORG_WALLET_1778160273441_F81077FBB190","ORG_714136041c8c450e87db5646","ORG_63cb10b5b1e5475fbd0d95a0","27","0.027","27.027","USD","CONFIRMED","2026-05-07T15:19:09.926Z"
"5","5dafb92c-9f1c-4626-9e42-d4de1cd6eccd","TX_1778167149930_B4858BD8490D","ORG_WALLET_1778160275505_F41736F76EA9","ORG_WALLET_1778160268893_3F8C90E5DA98","ORG_3e4a83201e5b4f7dbdb74422","ORG_a34da9d20f934482ba962b14","17.69","0.01769","17.70769","USD","CONFIRMED","2026-05-07T15:19:09.930Z"
"6","7a3f1b65-1285-468b-bc0f-b96f92dc87f7","TX_1778167149933_51935D029D0A","ORG_WALLET_1778160272427_347735F01EAC","ORG_WALLET_1778160275919_BDF031F0A6D4","ORG_95f1c8263eb9403fa7c10857","ORG_6e9b7fd7d6a84f5d89e1f07a","8.78","0.00878","8.78878","USD","CONFIRMED","2026-05-07T15:19:09.933Z"
"7","480c97ae-d7ce-411e-b2e8-e39a0ee61cb6","TX_1778167149937_7B9DF3DA4BF2","ORG_WALLET_1778160272004_218D14D9D927","WALLET_1778154970895_D82B934E18EF1","ORG_9e0677e9cdda4332a318f099","900475","26.2","0.0262","26.2262","USD","CONFIRMED","2026-05-07T15:19:09.937Z"
"8","653fe8ce-de07-4688-b844-eadfc239d468","TX_1778167149940_D3D0B7112DA3","ORG_WALLET_1778160277866_C651D9A96A38","ORG_WALLET_1778160275423_53316FAFBA7A","ORG_c97a5bd146424af892b521b5","ORG_3e2627c9b50d4224b7ce732a","39.94","0.03994","39.97994","USD","CONFIRMED","2026-05-07T15:19:09.941Z"
"9","34c6c8ff-9e27-45c1-8e14-a0ff590b344a","TX_1778167149944_F1C1F65DADB9","ORG_WALLET_1778160277281_E7A1D5DF049D","ORG_WALLET_1778160277948_02E3D888EC83","ORG_3dec97d5b52e4315a8dc28ee","ORG_da6ada1190384d80bd40ae29","26.51","0.02651","26.53651","USD","CONFIRMED","2026-05-07T15:19:09.944Z"
"10","5e42c062-7241-4a12-988e-2d1b6b2ab785","TX_1778167149948_381911224E8C","ORG_WALLET_1778160271922_7B17C247593D","ORG_WALLET_1778160269547_3BA2D4A87165","ORG_65c1186c01ec473e8828d351","ORG_08c99def34c34b7a943795e8","37.92","0.03792","37.95792","USD","CONFIRMED","2026-05-07T15:19:09.948Z"
