cur_id,cur_name,iso_cur_code,cur_name_ml,creation_date,created_by,update_date,updated_by,cur_decimal_calc,cur_sname,cur_sname_ml,last_extraction_date,cur_internal_code
166,"Platinum, Ounces",XPT,,2014-02-12,-1,,,6,XPT,,,
167,Yemeni Rial,YER,,2014-02-12,-1,,,6,YER,,,
168,New Dinar,YUM,,2014-02-12,-1,,,6,YUM,,,
169,Rand,ZAR,,2014-02-12,-1,,,6,ZAR,,,
170,Kwacha,ZMK,,2014-02-12,-1,,,6,ZMK,,,
171,Zimbabwe Dollar,ZWD,,2014-02-12,-1,,,6,ZWD,,,
172,Crude Oil Barrels (XE.com Index),XCO,,2014-02-12,-1,,,6,XCO,,,
1,US Dollar,USD,,2014-02-12,-1,,,6,USD,,,
2,UAE Dirham,AED,,2014-02-12,-1,,,6,AED,,,
3,Afghani,AFA,,2014-02-12,-1,,,6,AFA,,,
4,Lek,ALL,,2014-02-12,-1,,,6,ALL,,,
5,Armenian Dram,AMD,,2014-02-12,-1,,,6,AMD,,,
6,Netherlands Antillian Guilder,ANG,,2014-02-12,-1,,,6,ANG,,,
7,Angola New Kwanza,AOA,,2014-02-12,-1,,,6,AOA,,,
8,Argentine Peso,ARS,,2014-02-12,-1,,,6,ARS,,,
9,Australian Dollar,AUD,,2014-02-12,-1,,,6,AUD,,,
10,Aruban Guilder - Aruba Florin,AWG,,2014-02-12,-1,,,6,AWG,,,
11,Azerbaijanian Manat,AZM,,2014-02-12,-1,,,6,AZM,,,
12,Convertible Marks,BAM,,2014-02-12,-1,,,6,BAM,,,
13,Barbados Dollar,BBD,,2014-02-12,-1,,,6,BBD,,,
14,Taka,BDT,,2014-02-12,-1,,,6,BDT,,,
15,Lev,BGL,,2014-02-12,-1,,,6,BGL,,,
16,Bahraini Dinar,BHD,,2014-02-12,-1,,,6,BHD,,,
17,Burundi Franc,BIF,,2014-02-12,-1,,,6,BIF,,,
18,Bermudian Dollar,BMD,,2014-02-12,-1,,,6,BMD,,,
19,Brunei Dollar,BND,,2014-02-12,-1,,,6,BND,,,
20,Boliviano,BOB,,2014-02-12,-1,,,6,BOB,,,
21,Brazilian Real,BRL,,2014-02-12,-1,,,6,BRL,,,
22,Bahamian Dollar,BSD,,2014-02-12,-1,,,6,BSD,,,
23,Ngultrum,BTN,,2014-02-12,-1,,,6,BTN,,,
24,Pula,BWP,,2014-02-12,-1,,,6,BWP,,,
25,Belarussian Ruble,BYB,,2014-02-12,-1,,,6,BYB,,,
26,Belize Dollar,BZD,,2014-02-12,-1,,,6,BZD,,,
