itm_id,itm_name,itm_sname,match_code_id,itm_dis_code,mse_id,kty_code,bra_id,itm_ref_flag,comments,long_desc,status_code,status_bdate,itm_name_ml,sys_nc00015$,creation_date,created_by,updated_by,update_date,uni_sal_code,uni_leg_code,uni_sal_val,long_desc_ml,sys_nc00024$,product_class_id,is_standard_pricing,is_special_buy,warranty_id,is_item_display,data_source,like_itm_id,supplier_sugg_like_itm_id,unit_descriptor_code,is_consignment,itm_selling_price_id,is_semi_finished,last_extraction_date,material_content_code,legacy_creation_date,legacy_update_date,itm_selling_rule_id,cons_avail_date,ity_code,do_not_purge,uni_stock_val,emergency_call_type,itm_denomination,itm_commission,itm_price,is_hidden,is_subject_to_compliance,is_to_be_shopped,item_shop_type,order_num,material_composition,itt_code,cur_id,lgcy_item_classification,lgcy_has_parent,tech_bsn_group_id
181,Subagent joli  181,,,181,,1015,,0,,,21,2015-02-18,,,2015-02-12,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
228,Subagent jolibelle  228,,,228,,1015,,0,,,21,2015-02-18,,,2015-02-12,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
229,Subagent jolibelle  229,,,229,,1015,,0,,,21,2015-02-18,,,2015-02-12,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
350,LL 100.00 - 350,,,350,,900,,0,,,21,2015-02-20,,,2015-02-20,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
352,LL 100.00 - 352,,,352,,900,,0,,,21,2015-02-24,,,2015-02-20,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
354,Subagent jolibelle  354,,,354,,1015,,0,,,2,2015-02-23,,,2015-02-23,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
355,Subagent jolibelle  355,,,355,,1015,,0,,,2,2015-02-23,,,2015-02-23,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
389,Submarine  389,,,389,,1015,,0,,,2,2015-02-25,,,2015-02-25,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
390,Marie-Rose Site 390,,,390,,1015,,0,,,2,2015-02-25,,,2015-02-25,6553,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
397,dilma1 397,,,397,,1015,,0,,,21,2015-02-26,,,2015-02-26,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
