item_code_id,itm_id,lgcy_item_code,creation_date,created_by,update_date,updated_by,tech_condition,party_type_code
104,1,282,0001-02-04 00:00:00 BC,-200,,,,7
105,1,283,0001-02-04 00:00:00 BC,-200,,,,7
106,1,1,0001-02-04 00:00:00 BC,-200,,,,7
107,1,2,0001-02-04 00:00:00 BC,-200,,,,7
108,1,5,0001-02-04 00:00:00 BC,-200,,,,7
109,1,6,0001-02-04 00:00:00 BC,-200,,,,7
110,5,284,0001-02-04 00:00:00 BC,-200,,,,7
111,5,3,0001-02-04 00:00:00 BC,-200,,,,7
112,7,400,0001-02-04 00:00:00 BC,-200,,,,7
113,11,7,0001-02-04 00:00:00 BC,-200,,,AND LGCY_CUSTOMER_SECTOR_CODE IN ('111'),7
114,11,20,0001-02-04 00:00:00 BC,-200,,,AND LGCY_CUSTOMER_SECTOR_CODE IN ('111'),7
115,11,25,0001-02-04 00:00:00 BC,-200,,,AND LGCY_CUSTOMER_SECTOR_CODE IN ('111'),7
116,11,27,0001-02-04 00:00:00 BC,-200,,,AND LGCY_CUSTOMER_SECTOR_CODE IN ('111'),7
117,14,261,0001-02-04 00:00:00 BC,-200,,,,7
118,14,262,0001-02-04 00:00:00 BC,-200,,,,7
29,20,1050,0001-12-16 00:00:00 BC,-200,,,,7
30,21,6050,0001-12-16 00:00:00 BC,-200,,,"AND LGCY_CUSTOMER_SECTOR_CODE NOT IN ('111','101','301')",7
31,22,6060,0001-12-16 00:00:00 BC,-200,,,,7
32,23,6050,0001-12-16 00:00:00 BC,-200,,,AND LGCY_CUSTOMER_SECTOR_CODE IN ('111'),7
33,24,6050,0001-12-16 00:00:00 BC,-200,,,"AND LGCY_CUSTOMER_SECTOR_CODE IN ('101','301')",7
34,25,21002,0001-12-16 00:00:00 BC,-200,,,,7
35,25,21003,0001-12-16 00:00:00 BC,-200,,,,7
36,25,21004,0001-12-16 00:00:00 BC,-200,,,,7
37,25,21005,0001-12-16 00:00:00 BC,-200,,,,7
38,25,21010,0001-12-16 00:00:00 BC,-200,,,,7
39,25,21015,0001-12-16 00:00:00 BC,-200,,,,7
40,25,21024,0001-12-16 00:00:00 BC,-200,,,,7
41,25,21025,0001-12-16 00:00:00 BC,-200,,,,7
42,25,21026,0001-12-16 00:00:00 BC,-200,,,,7
43,25,21027,0001-12-16 00:00:00 BC,-200,,,,7
44,25,21028,0001-12-16 00:00:00 BC,-200,,,,7
45,25,21029,0001-12-16 00:00:00 BC,-200,,,,7
46,25,21030,0001-12-16 00:00:00 BC,-200,,,,7
47,25,21031,0001-12-16 00:00:00 BC,-200,,,,7
48,25,21032,0001-12-16 00:00:00 BC,-200,,,,7
49,25,21033,0001-12-16 00:00:00 BC,-200,,,,7
50,25,21034,0001-12-16 00:00:00 BC,-200,,,,7
51,25,21035,0001-12-16 00:00:00 BC,-200,,,,7
52,25,21036,0001-12-16 00:00:00 BC,-200,,,,7
53,26,8055,0001-12-16 00:00:00 BC,-200,,,,7
54,26,8060,0001-12-16 00:00:00 BC,-200,,,,7
55,26,8061,0001-12-16 00:00:00 BC,-200,,,,7
57,26,21006,0001-12-16 00:00:00 BC,-200,,,,7
58,26,21007,0001-12-16 00:00:00 BC,-200,,,,7
59,26,21008,0001-12-16 00:00:00 BC,-200,,,,7
60,26,21009,0001-12-16 00:00:00 BC,-200,,,,7
61,26,21012,0001-12-16 00:00:00 BC,-200,,,,7
62,26,21013,0001-12-16 00:00:00 BC,-200,,,,7
63,26,21016,0001-12-16 00:00:00 BC,-200,,,,7
64,26,21017,0001-12-16 00:00:00 BC,-200,,,,7
65,26,21018,0001-12-16 00:00:00 BC,-200,,,,7
66,26,21019,0001-12-16 00:00:00 BC,-200,,,,7
67,26,21020,0001-12-16 00:00:00 BC,-200,,,,7
68,26,21021,0001-12-16 00:00:00 BC,-200,,,,7
