table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default	character_maximum_length
blockchain	aml_wallet_risk_profiles	1	wallet_address	character varying	varchar	NO		255
blockchain	aml_wallet_risk_profiles	2	customer_id	character varying	varchar	YES		100
blockchain	aml_wallet_risk_profiles	3	risk_level	character varying	varchar	YES	'LOW'::character varying	20
blockchain	aml_wallet_risk_profiles	4	risk_score	integer	int4	YES	0	
blockchain	aml_wallet_risk_profiles	5	last_review_date	timestamp without time zone	timestamp	YES		
blockchain	aml_wallet_risk_profiles	6	notes	text	text	YES		
blockchain	aml_wallet_risk_profiles	7	created_at	timestamp without time zone	timestamp	YES	now()	
blockchain	aml_wallet_risk_profiles	8	updated_at	timestamp without time zone	timestamp	YES	now()	
blockchain	aml_wallet_risk_profiles	9	is_blacklisted	boolean	bool	NO	false	
blockchain	aml_wallet_risk_profiles	10	country_code	character varying	varchar	YES		10
blockchain	aml_wallet_risk_profiles	11	occupation_code	character varying	varchar	YES		100
blockchain	aml_wallet_risk_profiles	12	source_of_funds_code	character varying	varchar	YES		100
blockchain	aml_wallet_risk_profiles	13	is_pep	boolean	bool	NO	false	
blockchain	aml_wallet_risk_profiles	14	is_sanctioned	boolean	bool	NO	false	
blockchain	aml_wallet_risk_profiles	15	last_transaction_at	timestamp without time zone	timestamp	YES		
blockchain	aml_wallet_risk_profiles	16	created_by	character varying	varchar	YES		100
blockchain	aml_wallet_risk_profiles	17	updated_by	character varying	varchar	YES		100
blockchain	blockchain_kyc_wallet_requests	1	request_id	uuid	uuid	NO	gen_random_uuid()	
blockchain	blockchain_kyc_wallet_requests	2	customer_id	character varying	varchar	NO		50
blockchain	blockchain_kyc_wallet_requests	3	nationality	character varying	varchar	YES		200
blockchain	blockchain_kyc_wallet_requests	4	country_of_residence	character varying	varchar	YES		200
blockchain	blockchain_kyc_wallet_requests	5	mobile_hash	text	text	YES		
blockchain	blockchain_kyc_wallet_requests	6	email_hash	text	text	YES		
blockchain	blockchain_kyc_wallet_requests	7	national_id_hash	text	text	YES		
blockchain	blockchain_kyc_wallet_requests	8	organization_type	character varying	varchar	YES		100
blockchain	blockchain_kyc_wallet_requests	9	organization_id	uuid	uuid	YES		
blockchain	blockchain_kyc_wallet_requests	10	organization_code	character varying	varchar	YES		100
blockchain	blockchain_kyc_wallet_requests	11	organization_name	character varying	varchar	YES		255
blockchain	blockchain_kyc_wallet_requests	12	city	character varying	varchar	YES		200
