schemaname	tablename	indexname	indexdef
blockchain	aml_wallet_risk_profiles	aml_wallet_risk_profiles_pkey	CREATE UNIQUE INDEX aml_wallet_risk_profiles_pkey ON blockchain.aml_wallet_risk_profiles USING btree (wallet_address)
blockchain	aml_wallet_risk_profiles	idx_aml_wallet_risk_blacklisted	CREATE INDEX idx_aml_wallet_risk_blacklisted ON blockchain.aml_wallet_risk_profiles USING btree (is_blacklisted)
blockchain	aml_wallet_risk_profiles	idx_aml_wallet_risk_country	CREATE INDEX idx_aml_wallet_risk_country ON blockchain.aml_wallet_risk_profiles USING btree (country_code)
blockchain	aml_wallet_risk_profiles	idx_aml_wallet_risk_customer	CREATE INDEX idx_aml_wallet_risk_customer ON blockchain.aml_wallet_risk_profiles USING btree (customer_id)
blockchain	aml_wallet_risk_profiles	idx_aml_wallet_risk_level	CREATE INDEX idx_aml_wallet_risk_level ON blockchain.aml_wallet_risk_profiles USING btree (risk_level)
blockchain	aml_wallet_risk_profiles	idx_aml_wallet_risk_pep	CREATE INDEX idx_aml_wallet_risk_pep ON blockchain.aml_wallet_risk_profiles USING btree (is_pep)
blockchain	aml_wallet_risk_profiles	idx_aml_wallet_risk_sanctioned	CREATE INDEX idx_aml_wallet_risk_sanctioned ON blockchain.aml_wallet_risk_profiles USING btree (is_sanctioned)
blockchain	aml_wallet_risk_profiles	idx_aml_wallet_risk_score	CREATE INDEX idx_aml_wallet_risk_score ON blockchain.aml_wallet_risk_profiles USING btree (risk_score)
blockchain	blockchain_kyc_wallet_requests	blockchain_kyc_wallet_requests_pkey	CREATE UNIQUE INDEX blockchain_kyc_wallet_requests_pkey ON blockchain.blockchain_kyc_wallet_requests USING btree (request_id)
blockchain	blockchain_organization	PK_organization_id	CREATE UNIQUE INDEX "PK_organization_id" ON blockchain.blockchain_organization USING btree (organization_id)
blockchain	blockchain_organization_mapping	blockchain_organization_mapping_pkey	CREATE UNIQUE INDEX blockchain_organization_mapping_pkey ON blockchain.blockchain_organization_mapping USING btree (mapping_id)
