table_schema	table_name
blockchain	aml_wallet_risk_profiles
blockchain	blockchain_kyc_wallet_requests
blockchain	blockchain_organization
blockchain	blockchain_organization_mapping
blockchain	blockchain_wallet_balance
blockchain	blockchain_wallet_integration
blockchain	government_ministry_wallets
blockchain	kyc_documents
blockchain	kyc_hashes
blockchain	kyc_records
blockchain	kyc_requests
blockchain	kyc_statuses
blockchain	organizations
blockchain	ref_wallet_statuses
blockchain	resident_kyc
blockchain	resident_wallets
blockchain	valoores_customer_kyc
blockchain	valoores_customer_kyc_legacy_20260703
blockchain	vw_blockchain_customer_wallet
blockchain	wallet_statuses
blockchain	wallet_types
blockchain	wallets
(22 rows)
